"","PreTx_mean","OnTx_mean","PreTx_median","OnTx_median","diff_med","diff_mean","pvalue","padj"
"ctype13_ctype1",203.642004059901,289.352368777505,140.187960633691,223.293528791141,-83.1055681574494,-85.7103647176041,0.0622524797830692,0.126409045947093
"ctype13_ctype2",184.257366119903,189.554071148211,160.611332103311,155.906143625598,4.70518847771299,-5.29670502830737,0.822984480418869,0.822984480418869
"ctype13_ctype3",47.9842736559437,97.9448562046202,29.732137494637,48.1040538832228,-18.3719163885858,-49.9605825486765,0.000211610096543631,0.00317415144815446
"ctype13_ctype4",189.402895838572,89.8988446788426,94.578010129205,44.0733020249458,50.5047081042591,99.5040511597295,0.00180308663028124,0.00926603474349784
"ctype13_ctype5",78.4940871642223,37.5089649024945,35.4682957019364,18.9736659610103,16.4946297409261,40.9851222617278,0.00820773427451351,0.0246232028235405
"ctype13_ctype6",165.205131042219,252.207026820179,125.283678106927,189.996533762102,-64.7128556551756,-87.0018957779606,0.0069262049937821,0.0246232028235405
"ctype13_ctype7",329.201865093359,190.988491612772,317.118093844887,101.97471625031,215.143377594577,138.213373480587,0.00185320694869957,0.00926603474349784
"ctype13_ctype8",169.207623848718,149.447464963964,103.582274022699,108.189648303338,-4.60737428063905,19.7601588847539,0.44325276152026,0.588878953312096
"ctype13_ctype9",178.45990569012,246.906756913763,164.01524319404,166.373074744683,-2.35783155064362,-68.4468512236428,0.099483353044574,0.165805588407623
"ctype13_ctype10",55.0512756734225,35.3361140778034,33.9558536926993,18.8679622641132,15.0878914285861,19.7151615956191,0.0385728461570333,0.0964321153925831
"ctype13_ctype11",120.179430244016,93.6845550187379,51.2249938994628,55.5076625121045,-4.28266861264171,26.4948752252783,0.2478097433589,0.371714615038351
"ctype13_ctype12",69.5757882156847,72.7044120954319,39.962200357526,69.3169689195976,-29.3547685620716,-3.12862387974714,0.808082042985132,0.822984480418869
"ctype13_ctype13",93.030047222186,128.736271855154,66.720214726292,82.5651258098721,-15.84491108358,-35.7062246329676,0.0674181578384498,0.126409045947093
"ctype13_ctype14",119.764296401744,109.476693017713,75.690157880665,54.8130227199776,20.8771351606875,10.2876033840314,0.667973519397397,0.770738676227765
"ctype13_ctype15",34.0957210397022,37.9170412780314,26.4007575648882,30.4138126514911,-4.01305508660293,-3.82132023832918,0.471103162649677,0.588878953312096
